Variation ID	Chromosome	GAD ID	Association	Associated SNPs	Phenotype	Disease Class	Gene	Reference	PubMed	p-Value	Population	Entrez Gene
rs9272346	chr6	712714	Y	rs3093978	Behcet Syndrome	IMMUNE	BAT1	Elaine F Remmers et al. Nature genetics 2010	20622878	0.00		7919
rs9272346	chr6	747251	Y	rs3853601	Dermatitis, Atopic	IMMUNE	BAT1	Lavinia Paternoster et al. Nature genetics 2012	22197932	0.00		7919
rs9272346	chr6	712713	Y	rs3093948	Behcet Syndrome	IMMUNE	BAT1	Elaine F Remmers et al. Nature genetics 2010	20622878	0.00		7919
rs9272346	chr6	712719	Y	rs3093976	Behcet Syndrome	IMMUNE	BAT1	Elaine F Remmers et al. Nature genetics 2010	20622878	0.00		7919
rs9272346	chr6	712722	Y	rs3130057	Behcet Syndrome	IMMUNE	BAT1	Elaine F Remmers et al. Nature genetics 2010	20622878	0.00		7919
rs9272346	chr6	717912	Y	rs2734583	Diabetes Mellitus, Type 1	IMMUNE	BAT1		0	0.00		7919
rs9272346	chr6	746609	Y	rs2734583	Allopurinol	PHARMACOGENOMIC	BAT1	M Tohkin et al. The pharmacogenomics journal 2011	21912425	0.00		7919
rs9272346	chr6	712711	Y	rs3130058	Behcet Syndrome	IMMUNE	BAT1	Elaine F Remmers et al. Nature genetics 2010	20622878	0.00		7919
rs9272346	chr6	712716	Y	rs2516393	Behcet Syndrome	IMMUNE	BAT1	Elaine F Remmers et al. Nature genetics 2010	20622878	0.00		7919
rs9272346	chr6	712857	Y	rs2239709	Behcet Syndrome	IMMUNE	BAT1	Elaine F Remmers et al. Nature genetics 2010	20622878	0.00		7919
rs9272346	chr6	712769	Y	rs2251824	Behcet Syndrome	IMMUNE	BAT1	Elaine F Remmers et al. Nature genetics 2010	20622878	0.00		7919
rs9272346	chr6	689720			Diabetes Mellitus, Type 1|Disease Progression	IMMUNE	HLA-DQA1	Camilla Gullstrand  et al.  2008	18331414			3117
rs9272346	chr6	689721			Diabetic Ketoacidosis	UNKNOWN	HLA-DQA1	Ramaswami Nalini  et al.  2008	18316396			3117
rs9272346	chr6	689722			Diabetes Mellitus, Type 1	IMMUNE	HLA-DQA1	M  Bjornvold   et al.  2008	18292987			3117
rs9272346	chr6	689723			Celiac Disease	IMMUNE	HLA-DQA1	N Tinto  et al.  2008	18282752			3117
rs9272346	chr6	689724			Celiac Disease	IMMUNE	HLA-DQA1	Lucia  Diaz de Entresotos Villazan   et al.  2008	18279642			3117
rs9272346	chr6	689725			Birth Weight|Diabetes Mellitus, Type 1	UNKNOWN	HLA-DQA1	T M  Jarvinen   et al.  2008	18273034			3117
rs9272346	chr6	689726			Diabetes Mellitus, Type 1|Gastroenteritis|Pregnancy Complications, Infectious|Pregnancy in Diabetics	IMMUNE	HLA-DQA1	K F Lynch  et al.  2008	18273032			3117
rs9272346	chr6	689727			Celiac Disease	IMMUNE	HLA-DQA1	B  Hernandez-Charro   et al.  2008	18257894			3117
rs9272346	chr6	689728			Diabetes Mellitus, Type 1	IMMUNE	HLA-DQA1	Henry Erlich  et al.  2008	18252895			3117
rs9272346	chr6	689729			Bronchiectasis|Respiratory Tract Infections	UNKNOWN	HLA-DQA1	R J Boyton  et al.  2008	18241227			3117
rs9272346	chr6	689730			Dermatomyositis|Disease Progression	IMMUNE	HLA-DQA1	Stephanie Christen-Zaech  et al.  2008	18240225			3117
rs9272346	chr6	689731			Dermatitis, Atopic|Eczema allergic	IMMUNE	HLA-DQA1	Hanene Affes  et al.  2007	18236804			3117
rs9272346	chr6	689732			Diabetes Mellitus, Type 1	IMMUNE	HLA-DQA1	Lars C Stene  et al.  2008	18211635			3117
rs9272346	chr6	689733			Abortion, Spontaneous	REPRODUCTION	HLA-DQA1	Olimpia Sipak-Szmigiel  et al.  2007	18200971			3117
rs9272346	chr6	689734			Diabetes Mellitus, Type 1	IMMUNE	HLA-DQA1	Elisabetta Orilieri  et al.  2008	18198357			3117
rs9272346	chr6	689735			Hepatitis, Autoimmune	IMMUNE	HLA-DQA1	Lok-Beng Koay  et al.  2007	18194915			3117
rs9272346	chr6	689736			Celiac Disease	IMMUNE	HLA-DQA1	Francesca Megiorni  et al.  2008	18177450			3117
rs9272346	chr6	689737			Neoplasms, Germ Cell and Embryonal|Seminoma	CANCER	HLA-DQA1	N B Seniuta  et al.  2008	18084828			3117
rs9272346	chr6	689738			Addison Disease|Addison's disease	IMMUNE	HLA-DQA1	Z Gombos  et al.  2007	18057383			3117
rs9272346	chr6	689739			Chronic renal failure|Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1|Diabetic Nephropathies|Diabetic Nephropathy|Kidney Failure, Chronic	UNKNOWN	HLA-DQA1	Suzanne K Cordovado  et al.  2008	18039812			3117
rs9272346	chr6	689740			Sarcoidosis, Pulmonary|Tuberculosis, Pulmonary	IMMUNE	HLA-DQA1	Anna Dubaniewicz  et al.  2006	18038917			3117
rs9272346	chr6	689741			Diabetes Mellitus, Type 1	IMMUNE	HLA-DQA1	Jian-ping Wang  et al.  2007	18036312			3117
rs9272346	chr6	689742			Hepatitis C, Chronic	INFECTION	HLA-DQA1	Rong-Bin Yu  et al.  2008	18028350			3117
rs9272346	chr6	689743			Dermatitis|Drug Hypersensitivity	IMMUNE	HLA-DQA1	Haishan Li  et al.  2007	18007983			3117
rs9272723	chr6	125486	Y		Vogt-Koyanagi-Harada syndrome	UNKNOWN	HLA-DQA1	Liu, Q.  et al. 1999	11835809		Chinese	3117
rs9272723	chr6	148715			leukemia	CANCER	HLA-DQA1	Amirzargar, A. A.  et al. 2007	17387388		Iranian	3117
rs9272723	chr6	125487	Y		endometriosis; adenomyosis	REPRODUCTION	HLA-DQA1	Zong, L.  et al. 2002	11836687			3117
rs9272723	chr6	148716			birth weight gestational infections	INFECTION	HLA-DQA1	Larsson, H. E.  et al. 2007	17406854			3117
rs9272723	chr6	125488			anaphylactoid purpura	UNKNOWN	HLA-DQA1	Ren, S.  et al. 2002	11836690			3117
rs9272723	chr6	148717				NORMALVARIATION	HLA-DQA1	Voorter, C. E.  et al. 2007	17445172		Caucasian;Korean	3117
rs9272723	chr6	125489	Y		celiac disease	IMMUNE	HLA-DQA1	Lopez-Vazquez, A.  et al. 2002	11862400			3117
rs9272723	chr6	148718				NORMALVARIATION	HLA-DQA1	Lee, K. W.  et al. 2007	17445173		Korean	3117
rs9272723	chr6	125490			diabetes, type 1	IMMUNE	HLA-DQA1	Backman, V. M.  et al. 2002	11914753		Icelandic	3117
rs9272723	chr6	148719	P			NORMALVARIATION	HLA-DQA1	Leffell, M. S.  et al. 2007	17460569			3117
rs9272723	chr6	125491			schizophrenia	PSYCH	HLA-DQA1	Schwab, S. G.  et al. 2002	11920855			3117
rs9272723	chr6	148720	N		breast cancer	CANCER	HLA-DQA1	Chen, P. C.  et al. 2007	17484621			3117
rs9272723	chr6	125492			asthma	IMMUNE	HLA-DQA1	Gao, J.  et al. 2002	11953202			3117
rs9272723	chr6	148721			multiple sclerosis	IMMUNE	HLA-DQA1	Alves-Leon, S. V.  et al. 2007	17489940		Brazilian;European	3117
rs9272723	chr6	125493			cervical cancer	CANCER	HLA-DQA1	Dehaghani, A. S.  et al. 2002	11994765		Iranian	3117
rs9272723	chr6	148722			osteoporosis, postmenopausal	METABOLIC	HLA-DQA1	Douroudis, K.  et al. 2007	17498269		Greek	3117
rs9272723	chr6	125494			diabetes, type 1	IMMUNE	HLA-DQA1	Fernandes, A. P.  et al. 2002	12021129			3117
rs9272723	chr6	148723			sarcoidosis tuberculosis	IMMUNE	HLA-DQA1	Dubaniewicz, A.  et al. 2007	17541908			3117
rs9272723	chr6	125495	N		arthritis	IMMUNE	HLA-DQA1	Parthiban, M.  et al. 2002	12021152		Indian	3117
rs9272723	chr6	148724			rheumatic fever	IMMUNE	HLA-DQA1	Stanevicha, V.  et al. 2007	17559688			3117
rs9272723	chr6	125496			celiac disease	IMMUNE	HLA-DQA1	Fernandez, L.  et al. 2002	12074713			3117
rs9272723	chr6	148725			rheumatic heart disease	CARDIOVASCULAR	HLA-DQA1	Rehman, S.  et al. 2007	17578052			3117
rs9272723	chr6	125497	N		melanoma	CANCER	HLA-DQA1	Nagore, E.  et al. 2002	12125959		Spanish	3117
rs9272723	chr6	148726			celiac disease diabetes, type 1	IMMUNE	HLA-DQA1	Lie, B. A.  et al. 2007	17584581			3117
rs9272723	chr6	125498			psoriasis	IMMUNE	HLA-DQA1	Grubic, Z.  et al. 2002	12137324			3117
rs9272723	chr6	580198			lung adenocarcinoma	CANCER	HLA-DQA1	Takashi Kohno  , et al.  Carcinogenesis  2010 Jan	20061363			3117
rs9272723	chr6	125499	Y		pemphigoid, bullous	OTHER	HLA-DQA1	Gao, X. H.  et al. 2002	12139680		Japanese	3117
rs9272723	chr6	580199			Addison Disease|Graves Disease|Hashimoto Disease	IMMUNE	HLA-DQA1	Marissa Penna-Martinez  , et al.  BMC medical genetics  2010 10():126	19961590			3117
rs9272723	chr6	125500			celiac disease	IMMUNE	HLA-DQA1	Alaez, C.  et al. 2002	12144622		Indian	3117
rs9272723	chr6	580200			pharmacogenetic studies	PHARMACOGENOMIC	HLA-DQA1	Michael V Holmes  , et al.  PloS one  2009 4(12):e7960	19956635			3117
rs9272723	chr6	125501			hypertension; stroke, lacunar; atherothrombotic brain infarction	CARDIOVASCULAR	HLA-DQA1	Tian, W.  et al. 2000	12212201			3117
rs9272723	chr6	580201			Gastritis, Atrophic|Helicobacter Infections|Stomach Neoplasms	CANCER	HLA-DQA1	Hae-Wan Lee  , et al.  Journal of digestive diseases  2009 10(4):265-71	19906105		REPUBLIC OF KOREA	3117
rs9272723	chr6	125502	Y		tuberculosis	INFECTION	HLA-DQA1	Vejbaesya, S.  et al. 2002	12358854		Thai	3117
rs9272723	chr6	580202			rubella vaccine	IMMUNE	HLA-DQA1	Richard B Kennedy  , et al.  Human immunology  2010 71(2):128-35	19896518			3117
rs9272723	chr6	125503	Y		diabetes, type 1	IMMUNE	HLA-DQA1	Cinek, O.  et al. 2003	12639765		Czech	3117
rs9272723	chr6	580203			diabetes, type 1 	IMMUNE	HLA-DQA1	Lars C Stene  , et al.  Pediatric diabetes  2009 Nov	19895409			3117
rs9272723	chr6	125504	Y		psoriasis	IMMUNE	HLA-DQA1	Wei, S.  et al. 2002	12667357			3117
rs9272723	chr6	580204			Adrenal Insufficiency|Autoimmune Diseases	IMMUNE	HLA-DQA1	Eirik Bratland  , et al.  The Journal of clinical endocrinology and metabolism  2009 94(12):5117-24	19890026			3117
rs9272723	chr6	125505			cholangitis, sclerosing	METABOLIC	HLA-DQA1	Donaldson, P. T.  et al. 2002	12765483			3117
rs9272723	chr6	580205				UNKNOWN	HLA-DQA1	Annalisa Brozzetti  , et al.  European journal of endocrinology  2010 162(2):361-9	19884265			3117
rs9272723	chr6	125506			diabetes, type 1	IMMUNE	HLA-DQA1	Hoarau, J. J.  et al. 2003	12786999		African	3117
rs9272723	chr6	580206			Addison Disease|Autoimmune Diseases	IMMUNE	HLA-DQA1	Martina M Erichsen  , et al.  The Journal of clinical endocrinology and metabolism  2009 94(12):4882-90	19858318		NORWAY	3117
rs9272723	chr6	125507	Y		asthma	IMMUNE	HLA-DQA1	Gao, J.  et al. 2003	12890388		Chinese	3117
rs9272723	chr6	580207			Lupus Erythematosus, Systemic	IMMUNE	HLA-DQA1	Lisa F Barcellos  , et al.  PLoS genetics  2009 5(10):e1000696	19851445			3117
rs9272723	chr6	125508			diabetes, type 1	IMMUNE	HLA-DQA1	Kim, E. Y.  et al. 2003	12911285		Korean	3117
rs9272723	chr6	580208			normal variation	NORMALVARIATION	HLA-DQA1	R Williams  , et al.  Tissue antigens  2009 74(6):520-33	19845915			3117
rs9272723	chr6	125509	Y		thyroid autoimmunity	UNKNOWN	HLA-DQA1	Sumnik, Z.  et al. 2003	12948297			3117
rs9272723	chr6	580209			diabetes, type 1 	IMMUNE	HLA-DQA1	Koji Nakanishi  , et al.  Diabetes care  2010 33(1):162-4	19837788			3117
rs9272723	chr6	125510			rheumatic heart disease	IMMUNE	HLA-DQA1	Hernandez-Pacheco, G.  et al. 2003	14602216		Mexican	3117
rs9272723	chr6	580210			latent autoimmune diabetes	IMMUNE	HLA-DQA1	Elin Pettersen  , et al.  Diabetes  2010 59(1):302-10	19833889			3117
rs9272723	chr6	125511			respiratory papillomatosis, juvenile-onset; recurrent	UNKNOWN	HLA-DQA1	Gregoire, L.  et al. 2003	14623754		African American	3117
rs9272723	chr6	580211			Scleroderma, Systemic	IMMUNE	HLA-DQA1	Shervin Assassi  , et al.  Arthritis and rheumatism  2009 61(10):1403-11	19790132		TEXAS	3117
rs9272723	chr6	125512			multiple sclerosis	IMMUNE	HLA-DQA1	Zabay Becerril, J. M.  et al. 2004	14752708		Spanish	3117
rs9272723	chr6	580212			Eosinophilia-Myalgia Syndrome|	UNKNOWN	HLA-DQA1	Satoshi Okada  , et al.  Arthritis and rheumatism  2009 61(10):1305-11	19790128			3117
rs9272723	chr6	125513	Y		psoriasis	IMMUNE	HLA-DQA1	Zhang, X.  et al. 2004	15009387		Chinese	3117
rs9272723	chr6	580213			encephalomyelitis	IMMUNE	HLA-DQA1	Soniza Vieira Alves-Leon  , et al.  Arquivos de neuro-psiquiatria  2009 67(3A):643-51	19722042			3117
rs9272723	chr6	125514	N		retinopathy, diabetic	UNKNOWN	HLA-DQA1	Agardh, E.  et al. 2004	15019597			3117
rs9272723	chr6	580214			Leprosy, Lepromatous|Leprosy, Tuberculoid	INFECTION	HLA-DQA1	Samira A da Silva  , et al.  BMC infectious diseases  2009 9():134	19698125		BRAZIL	3117
rs9272723	chr6	125515			diabetes, type 1	IMMUNE	HLA-DQA1	Fernandes, A. P.  et al. 2004	15030582			3117
rs9272723	chr6	580215			Multiple Sclerosis	IMMUNE	HLA-DQA1	Roberta Pastorino  , et al.  PloS one  2010 4(8):e6526	19654877		ITALY	3117
rs9272723	chr6	125516			diabetes, type 1	IMMUNE	HLA-DQA1	Paschou, P.  et al. 2004	15055351			3117
rs9272723	chr6	580216			hepatitis B vaccination	IMMUNE	HLA-DQA1	Yufeng Li  , et al.  Human genetics  2009 126(5):685-96	19597844		BRAZIL|SOUTH AFRICA|UNITED STATES	3117
rs9272723	chr6	125517	Y		pregnancy loss, recurrent	REPRODUCTION	HLA-DQA1	Kruse, C.  et al. 2004	15070884			3117
rs9272723	chr6	580217			systemic sclerosis	IMMUNE	HLA-DQA1	Frank C Arnett  , et al.  Annals of the rheumatic diseases  2009 Jul	19596691			3117
rs9272723	chr6	125518	N		multiple sclerosis	IMMUNE	HLA-DQA1	Fernandez, O.  et al. 2004	15083289		Spanish	3117
rs9272723	chr6	580218			Hematologic Neoplasms	CANCER	HLA-DQA1	Lee Ann Baxter-Lowe  , et al.  Biology of blood and marrow transplantation   2009 15(8):971-81	19589487		UNITED STATES	3117
rs9272723	chr6	125519			diabetes, type 2	METABOLIC	HLA-DQA1	McCarthy, B. J.  et al. 2004	15112906		African American	3117
rs9272723	chr6	580219			Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Diabetic Retinopathy	UNKNOWN	HLA-DQA1	Sotoodeh Abhary  , et al.  Diabetes  2009 58(9):2137-47	19587357			3117
rs9272723	chr6	125520			celiac disease	IMMUNE	HLA-DQA1	Vidales, M. C.  et al. 2004	15120190		Spanish	3117
rs9272723	chr6	580220			multiple sclerosis	IMMUNE	HLA-DQA1	Oscar Fernandez  , et al.  Journal of neurology  2009 Jul	19585166			3117
rs9272723	chr6	125521	Y		hepatitis B, chronic	INFECTION	HLA-DQA1	Jiang, Y. G.  et al. 2004	15231205			3117
rs9272723	chr6	580221			schizophrenia | bipolar disorder	PSYCH	HLA-DQA1	Shaun M Purcell  , et al.  Nature  2009 460(7256):748-52	19571811		EUROPE	3117
rs9272723	chr6	125522			hepatitis B, chronic	INFECTION	HLA-DQA1	Zang, G. Q.  et al. 2004	15237447			3117
rs9272723	chr6	580222			schizophrenia	PSYCH	HLA-DQA1	Jianxin Shi  , et al.  Nature  2009 460(7256):753-7	19571809		EUROPE	3117
rs9272723	chr6	125523			diabetes, type 1	IMMUNE	HLA-DQA1	Hermann, R.  et al. 2004	15250035		European	3117
rs9272723	chr6	580223			Spondylitis, Ankylosing	IMMUNE	HLA-DQA1	Michael M Ward  , et al.  Arthritis and rheumatism  2009 61(7):859-66	19565552			3117
rs9272723	chr6	125524	Y		warts	UNKNOWN	HLA-DQA1	Spelten, B.  et al. 2004	15257408			3117
rs9272723	chr6	580224			Myasthenia Gravis	IMMUNE	HLA-DQA1	Gholam-Ali Yousefipour  , et al.  Iranian journal of immunology   2009 6(2):99-102	19561379		IRAN	3117
rs9272723	chr6	125525	Y		stomach cancer	CANCER	HLA-DQA1	Herrera-Goepfert, R.  et al. 2004	15259342			3117
rs9272723	chr6	580225			Helicobacter Infections|Stomach Neoplasms	CANCER	HLA-DQA1	Takashi Ando  , et al.  International journal of cancer  2009 125(11):2595-602	19544559			3117
rs9272723	chr6	125526	Y		tuberculosis	INFECTION	HLA-DQA1	Amirzargar, A. A.  et al. 2004	15305487		Iranian	3117
rs9272723	chr6	580226			Celiac Disease|	IMMUNE	HLA-DQA1	Audur H Gudjonsdottir  , et al.  Journal of pediatric gastroenterology and nutrition  2009 49(2):165-9	19543113			3117
rs9272723	chr6	125527			lupus erythematosus	IMMUNE	HLA-DQA1	Gambelunghe, G.  et al. 2004	15522921			3117
rs9272723	chr6	580227			diabetes, type 1 	IMMUNE	HLA-DQA1	Folefac Aminkeng  , et al.  Human immunology  2009 70(9):706-10	19539001		BELGIUM	3117
rs9272723	chr6	125528			HIV	INFECTION	HLA-DQA1	Bejrachandra, S.  et al. 2004	15565951		Thai	3117
rs9272723	chr6	580228			Celiac Disease|	IMMUNE	HLA-DQA1	Michelle M Pietzak  , et al.  Clinical gastroenterology and hepatology   2009 7(9):966-71	19500688		UNITED STATES	3117
rs9272723	chr6	125529	Y		cirrhosis, biliary primary	UNKNOWN	HLA-DQA1	Mullarkey, M. E.  et al. 2005	15713222		Caucasian	3117
rs9272723	chr6	580229			diabetes, type 1 	IMMUNE	HLA-DQA1	Xiao-mei Zhang  , et al.  Chinese medical journal  2009 122(8):980-6	19493426			3117
rs9272723	chr6	125530	Y		rheumatoid arthritis	IMMUNE	HLA-DQA1	Rodriguez-Carreon, A. A.  et al. 2005	15725578		Mexican	3117
rs9272723	chr6	580230			Calcinosis|Dermatomyositis	UNKNOWN	HLA-DQA1	H Gunawardena  , et al.  Arthritis and rheumatism  2009 60(6):1807-14	19479859		GREAT BRITAIN|IRELAND	3117
rs9272723	chr6	125531			cardiomyopathy	CARDIOVASCULAR	HLA-DQA1	Liu, W.  et al. 2005	15996167		Chinese	3117
rs9272723	chr6	580231				UNKNOWN	HLA-DQA1	G De Palma  , et al.  Current issues in molecular biology  2009 12(MedlineTA =&gt; Curr Is):1-10	19478349			3117
rs9272723	chr6	125532			chronic fatigue syndrome	OTHER	HLA-DQA1	Smith, J.  et al. 2005	16049290			3117
rs9272723	chr6	580232			coeliac disease	IMMUNE	HLA-DQA1	Lilia Laadhar  , et al.  European journal of gastroenterology &amp; hepatology  2009 21(11):1286-90	19474744			3117
rs9272723	chr6	125533			diabetes, type 1	IMMUNE	HLA-DQA1	Altobelli, E.  et al. 2005	16096857			3117
rs9272723	chr6	580233	N		diabetes, type 2 | diabetes, type 1	UNKNOWN	HLA-DQA1	S M Raj  , et al.  Diabetologia  2009 52(10):2109-16	19455305			3117
rs9272723	chr6	125534			alopecia areata	IMMUNE	HLA-DQA1	Xiao, F. L.  et al. 2005	16231148		Chinese	3117
rs9272723	chr6	580234			Celiac Disease|	IMMUNE	HLA-DQA1	Jihane Romanos  , et al.  Gastroenterology  2009 137(3):834-40, 840.e1-3	19454285		EUROPE	3117
rs9272723	chr6	125535			Graves' disease; Hashimoto's thyroiditis; autoimmune polyglandular syndrome	IMMUNE	HLA-DQA1	Hashimoto, K.  et al. 2005	16254435		Japanese	3117
rs9272723	chr6	580235			Asthma|Occupational Diseases	UNKNOWN	HLA-DQA1	Jeong-Hee Choi  , et al.  International archives of allergy and immunology  2009 150(2):156-63	19439981		KOREA	3117
rs9272723	chr6	125536			diabetes, type 2	METABOLIC	HLA-DQA1	Yang, H.  et al. 2005	16331578			3117
rs9272723	chr6	580236			diabetes, type 1 	IMMUNE	HLA-DQA1	H-Q Qu  , et al.  Journal of medical genetics  2009 46(7):469-71	19429597			3117
rs9272723	chr6	125537			multiple sclerosis; diabetes, gestational; insulin; diabetes, type 1; rhinitis	IMMUNE	HLA-DQA1	Stephens, H. A.  et al. 2000	11082517		Thai	3117
rs9272723	chr6	580237			diabetes, type 1 	IMMUNE	HLA-DQA1	Patrick Bruck  , et al.  Human immunology  2009 70(7):552-5	19410617		GERMANY	3117
rs9272723	chr6	125538	Y		infertility, tubal factor	REPRODUCTION	HLA-DQA1	Kinnunen, A. H.  et al. 2002	12151439			3117
rs9272723	chr6	580238			Rheumatic Diseases|Spondylitis, Ankylosing	IMMUNE	HLA-DQA1	Ming-Chi Lu  , et al.  Disease markers  2009 26(2):93-6	19407364		TAIWAN	3117
rs9272723	chr6	125539			lupus erythematosus	IMMUNE	HLA-DQA1	Parks, C. G.  et al. 2004	15219382			3117
rs9272723	chr6	580239			diabetes, type 1 	IMMUNE	HLA-DQA1	Majid Mojibian  , et al.  Diabetes  2009 58(8):1789-96	19401421			3117
rs9272723	chr6	125540			cirrhosis, primary biliary	UNKNOWN	HLA-DQA1	Donaldson, P.  et al. 2001	11171832			3117
rs9272723	chr6	580240			Multiple Sclerosis	IMMUNE	HLA-DQA1	Matthew R Lincoln  , et al.  Proceedings of the National Academy of Sciences of the United States of America  2009 106(18):7542-7	19380721			3117
rs9272723	chr6	125541	Y		diabetes, type 1	IMMUNE	HLA-DQA1	Cesari, M.  et al. 2004	15336779			3117
rs9272723	chr6	580241			Multiple Sclerosis, Relapsing-Remitting	IMMUNE	HLA-DQA1	M Comabella  , et al.  Journal of neuroimmunology  2009 210(1-2):116-9	19349081			3117
rs9272723	chr6	125542			hepatitis C, chronic	INFECTION	HLA-DQA1	Airoldi, A.  et al. 2004	15548263		European	3117
rs9272723	chr6	580242			diabetes, type 1 	IMMUNE	HLA-DQA1	Jorma Ilonen  , et al.  Human immunology  2009 70(6):461-3	19332095		MACEDONIA (REPUBLIC)	3117
rs9272723	chr6	125543			diabetes, type 1	IMMUNE	HLA-DQA1	Chuang, L.  et al. 2000	11024583		Taiwanese	3117
rs9272723	chr6	580243			Multiple Sclerosis|Neuromyelitis Optica	IMMUNE	HLA-DQA1	H Zephir  , et al.  Multiple sclerosis   2009 15(5):571-9	19299434			3117
rs9272723	chr6	125544			jaundice	METABOLIC	HLA-DQA1	O'Donohue, J  et al. 2000	11034591			3117
rs9272723	chr6	580244			diabetes, type 1 	IMMUNE	HLA-DQA1	M K Viken  , et al.  Genes and immunity  2009 10(4):323-33	19295542			3117
rs9272723	chr6	125545			multiple sclerosis	IMMUNE	HLA-DQA1	Zipp, F.  et al. 2000	11082515			3117
rs9272723	chr6	580245			normal variation	NORMALVARIATION	HLA-DQA1	Lee KW,  , et al.    2009 Jun;70(6):464-7. Epub 2009 Mar 12.	19286445			3117
rs9272723	chr6	125546			renal disease, end stage	UNKNOWN	HLA-DQA1	Perez-Luque, E.  et al. 2000	11082516		Mexican	3117
rs9272723	chr6	580246			Celiac Disease	IMMUNE	HLA-DQA1	Lotta Koskinen  , et al.  Immunogenetics  2009 61(4):247-56	19255754			3117
rs9272723	chr6	125547			diabetes, type 1	IMMUNE	HLA-DQA1	Cinek, O.  et al. 2000	11098934			3117
rs9272723	chr6	580247			Celiac Disease|	IMMUNE	HLA-DQA1	E Donat  , et al.  Tissue antigens  2009 73(3):255-61	19254257		SPAIN	3117
rs9272723	chr6	125548			multiple sclerosis; diabetes, type 1	IMMUNE	HLA-DQA1	Lampis, R.  et al. 2000	11115839			3117
rs9272723	chr6	580248			Hashimoto Disease	IMMUNE	HLA-DQA1	G Kokaraki  , et al.  Tissue antigens  2009 73(3):199-205	19254248		GREECE	3117
rs9272723	chr6	125549			diabetes, type 1	IMMUNE	HLA-DQA1	Kwon, O. J.  et al. 2001	11165718		Jewish	3117
rs9272723	chr6	580249			colorectal cancer	IMMUNE	HLA-DQA1	M M Garrity-Park  , et al.  Gut  2009 58(9):1226-33	19251712			3117
rs9272723	chr6	125550			graft-versus-host disease	IMMUNE	HLA-DQA1	Lampis, R.  et al. 2000	11169241		Caucasian	3117
rs9272723	chr6	580250			Autoimmune Diseases|Neutropenia	IMMUNE	HLA-DQA1	Lin-Yen Wang  , et al.  Transfusion  2009 49(5):1003-6	19210322		TAIWAN	3117
rs9272723	chr6	125551			narcolepsy	NEUROLOGICAL	HLA-DQA1	Mignot, E.  et al. 2001	11179016			3117
rs9272723	chr6	580251			diabetes, type 1 	IMMUNE	HLA-DQA1	A C Britten  , et al.  International journal of immunogenetics  2009 36(1):47-57	19207936			3117
rs9272723	chr6	125552			celiac disease	IMMUNE	HLA-DQA1	Sumnik, Z.  et al. 2000	11195230		Czech	3117
rs9272723	chr6	580252			rubella vaccination	IMMUNE	HLA-DQA1	Inna G Ovsyannikova  , et al.  Vaccine  2009 27(25-26):3359-66	19200845			3117
rs9272723	chr6	125553			arthritis	IMMUNE	HLA-DQA1	Vos, K.  et al. 2001	11257148			3117
rs9272723	chr6	580253			rubella vaccine response	IMMUNE	HLA-DQA1	Inna G Ovsyannikova  , et al.  Vaccine  2009 27(25-26):3349-58	19200828			3117
rs9272723	chr6	125554	N		Helicobacter pylori infection	INFECTION	HLA-DQA1	Santolaria, S.  et al. 2001	11261221		Spanish	3117
rs9272723	chr6	580254			breast cancer   	CANCER	HLA-DQA1	David  Cantu  , et al.  BMC cancer  2009 9():48	19196481			3117
rs9272723	chr6	125555	Y		multiple sclerosis	IMMUNE	HLA-DQA1	Rasmussen, H. B.  et al. 2001	11424637			3117
rs9272723	chr6	580255			natural antibodies	IMMUNE	HLA-DQA1	Eva Pozsonyi  , et al.  Molecular immunology  2009 46(7):1416-23	19167759			3117
rs9272723	chr6	125556			psychological distress	PSYCH	HLA-DQA1	Alaez, C.  et al. 2001	11477477		Mexican	3117
rs9272723	chr6	580256			Graft vs Host Disease	IMMUNE	HLA-DQA1	Meghan Delaney  , et al.  Transfusion  2009 49(5):995-1002	19159415			3117
rs9272723	chr6	125557	Y		cholangitis, sclerosing	METABOLIC	HLA-DQA1	Boberg, K. M.  et al. 2001	11495087			3117
rs9272723	chr6	580257			diabetes, type 1 	IMMUNE	HLA-DQA1	E McKinnon  , et al.  Diabetes, obesity &amp; metabolism  2009 11 Suppl 1():92-100	19143821			3117
rs9272723	chr6	125558			diabetes, type 1; autoimmune diabetes; diabetes, autoimmune	IMMUNE	HLA-DQA1	Gambelunghe, G.  et al. 2001	11502807			3117
rs9272723	chr6	580258			diabetes, type 1 	IMMUNE	HLA-DQA1	K Badenhoop  , et al.  Diabetes, obesity &amp; metabolism  2009 11 Suppl 1():88-91	19143820			3117
rs9272723	chr6	125559			insulin response, first phase; insulitis	METABOLIC	HLA-DQA1	Cinek, O.  et al. 2001	11678027		Czech	3117
rs9272723	chr6	580259			diabetes, type 1 	IMMUNE	HLA-DQA1	P G Bronson  , et al.  Diabetes, obesity &amp; metabolism  2009 11 Suppl 1():74-83	19143818			3117
rs9272723	chr6	125560			diabetes, type 1	IMMUNE	HLA-DQA1	Ronningen, K. S.  et al. 2001	11724418			3117
rs9272723	chr6	580260			Diabetes Mellitus, Type 1|	IMMUNE	HLA-DQA1	E E Baschal  , et al.  Diabetes, obesity &amp; metabolism  2009 11 Suppl 1():25-30	19143812			3117
